Id,Ano,Numero_Accidente,Provincia,Mes,Dia,Hora,Dia_Semana,Tipo_Dia,Vehiculos_Implicados,Carretera,Pk,Km,Hm,Sentido,Zona,Tipo_Via,Anchura_Calzada,Anchura_Carril,Marcas_Viales,Arcen,Arcen_Pavimentado,Mediana,Barrera_Seguridad,Paneles_Direccionales,Hitos_Arista,Captafaros,Interseccion_Tipo,Interseccion_Acondicionamiento,Prioridad_Regulada_por,Superficie,Luminosidad,Factores_Atmosfericos,Visibilidad_Restringida_por,Otras_Circunstancias,Senalizacion_Peligro,Aceras,Arboles,Arboles_Metros_Calzada,Visibilidad_Senalizacion_Vertical,Colision_Vehiculos_Marcha,Colision_Vehiculo_Obstaculo_1,Colision_Vehiculo_Obstaculo_2,Atropello_1,Atropello_2,Vuelco_1,Vuelco_2,Salida_Sin_Colision,Salida_Con_Colision,Lado_Salida,Otro,Circulacion,Circulacion_Medidas_Especiales,Distraccion,Inexperiencia_Conductor,Alcohol_Drogas,Cansancio_Sueno,Enfermedad,Velocidad_Inadecuada,Infraccion_Norma_Circulacion,Estado_Condicion_Via,Estado_Condicion_Senalizacion,Tramo_Obras,Mal_Estado_Vehiculo,Averia_Mecanica,Meteorologia_Adversa,Irrupcion_Animal,Circular_Sentido_Contrario,Otro_Factor,Sin_Opinion_Definida,Pendiente,Curvatura,Peralte,GPS_x,GPS_y,GPS_z,Tipo_Est,IMD,N_Muertos,N_Graves,N_Leves,Hora_Real,Fuera_o_Interseccion
126,1,2005030000075,1,6,6,6,1,4,2,CV-95,19.8,19,8,1,1,5,2,2,3,3,2,1,1,1,2,2,2,5,3,1,1,1,9,14,1,1,1,NaN,2,1,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,686428.549,4213589.879,18.165,Cob,10460,0,0,2,18,7
127,1,2005030000077,1,6,12,4,7,3,1,CV-940,11.8,11,8,0,1,5,3,2,3,3,2,1,1,1,2,2,7,7,8,1,1,1,9,14,2,1,1,NaN,1,NaN,NaN,,NaN,,12,9,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,697655.093,4216333.477,-8.732,Cob,4511,0,0,2,13,2
129,1,2005030000079,1,6,16,3,4,1,2,CV-91,1.7,1,7,1,1,5,3,2,3,3,2,1,1,1,2,2,7,7,8,1,1,1,9,14,2,1,1,NaN,1,3,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,703618.197,4219079.132,-21.189,Cob,11515,0,0,3,9,2
130,1,2005030000080,1,6,20,4,1,1,1,CV-821,8.9,8,9,1,1,5,3,2,3,3,2,1,1,1,1,1,7,7,8,1,1,1,9,14,3,2,1,NaN,2,NaN,NaN,,21,21,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,716964.442,4252107.732,70.694,Cob,12499,0,0,2,14,2
134,1,2005030000086,1,6,19,4,7,3,3,CV-895,5.4,5,4,1,1,5,2,2,3,3,2,1,1,1,1,1,2,1,8,1,1,1,9,14,3,1,1,NaN,2,2,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,3,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,701179.809,4214115.243,-11.348,Cob,8765,0,0,2,13,6
136,1,2005030000088,1,6,17,4,5,1,2,CV-91,7,7,0,1,1,5,3,2,3,3,2,1,1,1,2,2,5,1,4,1,1,1,9,14,1,1,1,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,64,60,NaN,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,698493.366,4219259.036,-26.792,Sec,13355,0,0,1,11,7
141,1,2005030000098,1,6,14,6,2,1,2,CV-95,10.3,10,3,1,1,5,3,2,3,3,2,1,1,2,2,2,7,7,5,1,1,1,2,14,1,1,1,NaN,2,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,693083.95,4207511.926,39.028,Cob,12125,0,0,5,17,5
143,1,2005030000100,1,6,18,3,6,2,2,CV-763,0.3,0,3,0,1,5,2,2,3,3,2,1,1,1,2,1,1,1,5,1,1,1,9,14,1,1,3,NaN,2,2,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,753572.741,4272959.481,13.584,Cob,11810,0,0,1,10,7
145,1,2005030000101,1,6,18,1,6,2,1,CV-763,0.6,0,6,0,1,5,3,2,3,1,2,1,1,1,2,2,1,4,5,1,3,1,3,14,1,1,1,NaN,2,NaN,NaN,,21,21,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,753365.554,4273171.242,22.494,Cob,11810,0,2,0,23,7
146,1,2005030000109,1,6,23,1,4,1,1,CV-715,25.5,25,5,0,1,5,1,3,4,1,2,1,2,2,1,1,7,7,8,1,5,1,9,2,1,1,3,NaN,2,NaN,NaN,,NaN,,NaN,,65,NaN,60,NaN,1,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,754106.517,4289554.372,511.484,Cob,447,1,0,0,2,4
