Id,Ano,Numero_Accidente,Provincia,Mes,Dia,Hora,Dia_Semana,Tipo_Dia,Vehiculos_Implicados,Carretera,Pk,Km,Hm,Sentido,Zona,Tipo_Via,Anchura_Calzada,Anchura_Carril,Marcas_Viales,Arcen,Arcen_Pavimentado,Mediana,Barrera_Seguridad,Paneles_Direccionales,Hitos_Arista,Captafaros,Interseccion_Tipo,Interseccion_Acondicionamiento,Prioridad_Regulada_por,Superficie,Luminosidad,Factores_Atmosfericos,Visibilidad_Restringida_por,Otras_Circunstancias,Senalizacion_Peligro,Aceras,Arboles,Arboles_Metros_Calzada,Visibilidad_Senalizacion_Vertical,Colision_Vehiculos_Marcha,Colision_Vehiculo_Obstaculo_1,Colision_Vehiculo_Obstaculo_2,Atropello_1,Atropello_2,Vuelco_1,Vuelco_2,Salida_Sin_Colision,Salida_Con_Colision,Lado_Salida,Otro,Circulacion,Circulacion_Medidas_Especiales,Distraccion,Inexperiencia_Conductor,Alcohol_Drogas,Cansancio_Sueno,Enfermedad,Velocidad_Inadecuada,Infraccion_Norma_Circulacion,Estado_Condicion_Via,Estado_Condicion_Senalizacion,Tramo_Obras,Mal_Estado_Vehiculo,Averia_Mecanica,Meteorologia_Adversa,Irrupcion_Animal,Circular_Sentido_Contrario,Otro_Factor,Sin_Opinion_Definida,Pendiente,Curvatura,Peralte,GPS_x,GPS_y,GPS_z,Tipo_Est,IMD,Hora_Real,Fuera_o_Interseccion
8649,3,2007120001257,2,8,12,6,7,3,1,CV-132,1.5,1,5,1,1,4,2,2,3,3,2,1,1,2,2,1,7,7,8,3,1,5,9,14,1,1,1,NaN,2,NaN,NaN,,NaN,,NaN,,67,NaN,60,NaN,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,768722.208,4487756.651,382.708,Sec,3676,20,4
8735,3,2007120001715,2,10,17,6,3,1,2,CV-132,2.6,2,6,1,1,5,2,2,3,3,2,1,1,2,1,1,7,7,8,3,5,4,9,14,3,1,3,NaN,2,1,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,769103.308,4486754.198,367.059,Sec,3676,21,2
7981,3,2007030003296,1,10,24,6,3,1,2,CV-913,0.1,0,1,0,1,5,2,3,3,3,2,1,1,1,1,1,7,7,8,1,3,4,9,14,2,2,3,NaN,1,2,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,687256.386,4222260.49,-12.209,Sec,7690,19,1
2018,1,2005460002487,3,12,19,3,1,1,1,CV-50,28.1,28,1,0,1,2,3,2,3,3,2,2,2,1,2,2,7,7,8,1,1,1,9,3,1,1,3,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,52,50,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,716799.466,4340622.208,0.243,Sec,21900,10,5
2846,2,2006030001832,1,6,3,6,6,2,2,CV-920,16.8,16,8,1,1,5,3,2,3,3,2,1,2,2,2,2,7,7,8,1,5,1,9,14,3,1,3,NaN,2,1,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,691404.4,4217520.436,-3.995,Cob,7061,22,2
4558,2,2006460000582,3,1,15,4,7,3,2,CV-81,8,8,0,0,1,5,3,2,3,3,2,1,1,2,1,1,7,7,8,2,1,1,2,14,1,1,1,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,71,1,4,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,708148.712,4297118.269,400.08,Cob,3706,13,5
4974,2,2006460003616,3,3,31,6,5,1,1,CV-35,18,18,0,0,1,2,3,2,3,4,2,2,2,1,2,2,7,7,8,1,5,1,9,14,1,1,1,NaN,2,NaN,NaN,,NaN,,NaN,,66,NaN,60,NaN,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,710899.038,4386649.983,113.72,Per,43300,20,1
19754,6,2010460003191,3,6,13,6,7,3,2,CV-50,72.9,72,9,0,1,5,3,2,3,3,2,1,1,1,1,1,7,7,4,1,1,1,9,14,1,1,1,NaN,2,2,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,698436.868,4372005.163,214.375,Cob,4517,17,1
17805,5,2009460007352,3,12,11,4,5,1,2,CV-32,2.1,2,1,0,1,5,3,2,3,5,2,2,2,2,2,2,7,7,5,1,1,1,9,14,3,1,3,NaN,2,NaN,30,29,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,730682.117,4382292.819,-5.991,Per,24274,11,1
15569,5,2009030002695,1,10,21,4,3,1,1,CV-763,3.5,3,5,0,1,5,2,2,3,3,2,1,1,1,1,1,7,7,8,1,1,1,9,14,1,1,1,NaN,2,NaN,NaN,,NaN,,NaN,,66,NaN,60,NaN,1,4,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,751514.496,4275141.92,112.927,Cob,11852,11,1
